city_name,data_source,industry,sub_industry,keywords,spacy_keywords,gliner_keywords
Seattle,News Articles,healthcare,health insurance,"['congestion pricing', 'medicare', 'ned johnson', 'seattle', 'social security']","['medicare', 'ned johnson', 'seattle', 'social security']","['congestion pricing', 'medicare', 'social security']"
Seattle,News Articles,healthcare,mental health,"['about a million', 'adhd', 'antisemitism', 'approximately  ', 'superpower sense', 'trump']","['about a million', 'approximately  ', 'trump']","['adhd', 'antisemitism', 'superpower sense']"
Seattle,News Articles,technology,artificial intelligence,"['ai', 'algorithms', 'amds', 'artificial intelligence', 'artificial intelligence tools', 'boom supersonics', 'copilot', 'generative ai', 'gondola technology', 'linux kernel', 'opioidfree', 'opteron a1100', 'qdaythe worst holiday maybe', 'quantum computers', 'seattle arm soc', 'seattles hills', 'stroke prevention', 'the past year', 'today', 'zafar chaudry ai']","['amds', 'linux kernel', 'opioidfree', 'opteron a1100', 'qdaythe worst holiday maybe', 'seattle arm soc', 'seattles hills', 'the past year', 'today', 'zafar chaudry ai']","['ai', 'algorithms', 'artificial intelligence', 'artificial intelligence tools', 'boom supersonics', 'copilot', 'generative ai', 'gondola technology', 'linux kernel', 'quantum computers', 'stroke prevention']"
Seattle,News Articles,healthcare,specialty care,"['artificial intelligence tools', 'cancer screening', 'district court', 'donald trumps', 'federal judges', 'genderaffirming care', 'late friday', 'opioidfree', 'ryan mcdonagh', 'seattle', 'stroke prevention', 'tampa bay', 'zafar chaudry ai']","['district court', 'donald trumps', 'federal judges', 'late friday', 'opioidfree', 'ryan mcdonagh', 'seattle', 'tampa bay', 'zafar chaudry ai']","['artificial intelligence tools', 'cancer screening', 'genderaffirming care', 'stroke prevention']"
Seattle,News Articles,technology,enterprise software,"['50th', 'ai', 'american', 'azure ai foundry', 'chatgpt', 'copilot', 'dallasmatrix', 'helsinkimatrix airfare search', 'ita software', 'microsoft', 'microsofts', 'scandinavian', 'stockholmmatrix airfare search']","['50th', 'american', 'chatgpt', 'dallasmatrix', 'helsinkimatrix airfare search', 'ita software', 'microsoft', 'microsofts', 'scandinavian', 'stockholmmatrix airfare search']","['ai', 'azure ai foundry', 'chatgpt', 'copilot', 'ita software']"
Seattle,News Articles,technology,e-commerce,"['amazon', 'amiibo', 'julie', 'kiss of lifes agency', 'nintendo', 'the kpop girl groups agency', 'wednesday april', 'youtube']","['amazon', 'amiibo', 'julie', 'kiss of lifes agency', 'nintendo', 'the kpop girl groups agency', 'wednesday april']","['amazon', 'youtube']"
Seattle,News Articles,technology,fintech,['venture capital'],[],['venture capital']
Seattle,News Articles,technology,cloud computing,['electric state'],[],['electric state']
St Louis,News Articles,healthcare,specialty care,"['mental health treatment', 'missouri']",['missouri'],['mental health treatment']
St Louis,News Articles,technology,artificial intelligence,"['ai tools', 'automation', 'genai', 'generative ai', 'harvard', 'quantum mechanics', 'the federal reserve bank of st louis', 'vanderbilt', 'voltron']","['genai', 'generative ai', 'harvard', 'the federal reserve bank of st louis', 'vanderbilt']","['ai tools', 'automation', 'genai', 'generative ai', 'quantum mechanics', 'voltron']"
St Louis,News Articles,healthcare,pharmaceuticals,"['30s 40s', '50s', 'experimental drug', 'leqembi', 'sue bell']","['30s 40s', '50s', 'sue bell']","['experimental drug', 'leqembi']"
St Louis,News Articles,healthcare,mental health,"['degeneracy', 'mental health', 'moral compass']",[],"['degeneracy', 'mental health', 'moral compass']"
